Starting a new procedure
Running matching
Total codeterms to match = 168
Starting to write
Total example blocks to match = 82
Starting to write
PoolingHttpClientConnectionManager(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER
executor.execute(), UNIDENTIFIED-TYPE, 2163, 5, 5.1 Easy to use facade API, org.apache.http.client.fluent.Request.execute(), @

connMgr.closeExpiredConnections(), METHOD, 1125, 9, 2.5 Connection eviction policy, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.closeExpiredConnections(), @ABSTRACT

UsernamePasswordCredentials, CLASS/INTERFACE, 1655, 9, 4.1 User credentials, org.apache.http.auth.UsernamePasswordCredentials, @DATA_PROVIDER

CookieStore, CLASS/INTERFACE, 1574, 9, 3.5 Cookie persistence, org.apache.http.client.CookieStore, @INTERFACE

CookieStore, CLASS/INTERFACE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.CookieStore, @INTERFACE

targetAuthState.getCredentials(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.auth.AuthState.getCredentials(), @PROPERTY

BasicCredentialsProvider(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.impl.client.BasicCredentialsProvider.BasicCredentialsProvider(), @CONSTRUCTOR

BasicCredentialsProvider(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.impl.client.BasicCredentialsProvider.BasicCredentialsProvider(), @CONSTRUCTOR

BasicCredentialsProvider(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.BasicCredentialsProvider.BasicCredentialsProvider(), @CONSTRUCTOR

HttpRoute(), METHOD, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.conn.routing.HttpRoute.HttpRoute(), @

HttpRoute(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.conn.routing.HttpRoute.HttpRoute(), @

HttpRoute(), METHOD, 1370, 9, 2.8 HttpClient proxy configuration, org.apache.http.client.protocol.HttpClientContext.getHttpRoute(), @

cookie.setAttribute(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setAttribute(), @

cookie.setAttribute(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setAttribute(), @

HttpEntity, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 351, 13, 1.1.6 Consuming entity content, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 433, 13, 1.1.8 Response handlers, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 602, 9, 1.3 HTTP execution context, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 602, 9, 1.3 HTTP execution context, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.entity.BufferedHttpEntity, @

HttpEntity, CLASS/INTERFACE, 1073, 9, 2.4 Multithreaded request execution, org.apache.http.nio.protocol.NullNHttpEntity, @

HttpEntity, CLASS/INTERFACE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.HttpEntity, @

HttpEntity, CLASS/INTERFACE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.HttpEntity, @

HttpEntity, CLASS/INTERFACE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.HttpEntity, @

HttpEntity, CLASS/INTERFACE, 2185, 7, 5.1.1 Response handling, org.apache.http.entity.TestAbstractHttpEntity, @

HttpEntity, CLASS/INTERFACE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.HttpEntity, @

HttpEntity, CLASS/INTERFACE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.HttpEntity, @

HttpGet, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1073, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1073, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet, @DATA_CLASS

HttpGet, CLASS/INTERFACE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet, @DATA_CLASS

DefaultProxyRoutePlanner, CLASS/INTERFACE, 1351, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.conn.DefaultProxyRoutePlanner, @DATA_CLASS

CacheConfig.custom(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.impl.client.cache.CacheConfig.custom(), @

cm.setMaxTotal(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.setMaxTotal(), @

SSLConnectionSocketFactory, CLASS/INTERFACE, 1269, 13, 2.7.3 SSL/TLS customization, org.apache.http.conn.ssl.SSLConnectionSocketFactory, @BOUNDARY

SSLConnectionSocketFactory, CLASS/INTERFACE, 1316, 13, 2.7.4 Hostname verification, org.apache.http.conn.ssl.SSLConnectionSocketFactory, @BOUNDARY

PublicSuffixMatcherLoader.getDefault(), METHOD, 1543, 9, 3.4 Custom cookie policy, org.apache.http.conn.util.PublicSuffixMatcherLoader.getDefault(), @

response.getStatusLine(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.CloseableHttpResponse.getStatusLine(), @

response.getStatusLine(), METHOD, 2185, 7, 5.1.1 Response handling, org.apache.http.HttpResponse.getStatusLine(), @

response.getStatusLine(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.CloseableHttpResponse.getStatusLine(), @

SSLConnectionSocketFactory(), METHOD, 1269, 13, 2.7.3 SSL/TLS customization, org.apache.http.conn.ssl.SSLConnectionSocketFactory.SSLConnectionSocketFactory(), @

SSLConnectionSocketFactory(), METHOD, 1316, 13, 2.7.4 Hostname verification, org.apache.http.conn.ssl.SSLConnectionSocketFactory.SSLConnectionSocketFactory(), @

PublicSuffixMatcher, CLASS/INTERFACE, 1332, 13, 2.7.4 Hostname verification, org.apache.http.conn.util.PublicSuffixMatcher, @

PublicSuffixMatcher, CLASS/INTERFACE, 1543, 9, 3.4 Custom cookie policy, org.apache.http.conn.util.PublicSuffixMatcher, @

httpGet.setConfig(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.fluent.InternalHttpRequest.setConfig(), @

metrics.getSuccessfulConnectionAverageDuration(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getSuccessfulConnectionAverageDuration(), @PROPERTY

ConnectionKeepAliveStrategy, CLASS/INTERFACE, 477, 9, 1.2 HttpClient interface, org.apache.http.impl.client.DefaultConnectionKeepAliveStrategy, @INTERFACE

ConnectionKeepAliveStrategy, CLASS/INTERFACE, 1176, 9, 2.6 Connection keep alive strategy, org.apache.http.conn.ConnectionKeepAliveStrategy, @INTERFACE

metrics.getSuccessfulConnectionCount(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getSuccessfulConnectionCount(), @PROPERTY

CredentialsProvider, CLASS/INTERFACE, 1757, 9, 4.3 Credentials provider, org.apache.http.impl.auth.win.WindowsCredentialsProvider, @INTERFACE

CredentialsProvider, CLASS/INTERFACE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.impl.auth.win.WindowsCredentialsProvider, @INTERFACE

CredentialsProvider, CLASS/INTERFACE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.impl.auth.win.WindowsCredentialsProvider, @INTERFACE

CredentialsProvider, CLASS/INTERFACE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.BasicCredentialsProvider, @INTERFACE

HttpCacheContext, CLASS/INTERFACE, 2328, 5, 6.3 Example Usage, org.apache.http.client.cache.HttpCacheContext, @

response1.getEntity(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.entity.mime.MultipartEntity.getEntity(), @

response1.getEntity(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.CloseableHttpResponse.getEntity(), @

response1.getEntity(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.CloseableHttpResponse.getEntity(), @

connRequest.get(), UNIDENTIFIED-TYPE, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.conn.routing.HttpRoute.getHopTarget(), @

connMrg.routeComplete(), METHOD, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.routeComplete(), @

cm.setDefaultMaxPerRoute(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.setDefaultMaxPerRoute(), @

CookieSpec, CLASS/INTERFACE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.cookie.CookieSpec, @

CacheResponseStatus, CLASS/INTERFACE, 2328, 5, 6.3 Example Usage, org.apache.http.client.cache.CacheResponseStatus, @

response2.close(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.entity.LazyDecompressingInputStream.close(), @

response2.close(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.CloseableHttpResponse.close(), @

response2.close(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.close(), @

targetAuthState.getState(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.auth.AuthState.getState(), @PROPERTY

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.BasicCredentialsProvider.setCredentials(), @

metrics.getTaskCount(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getTaskCount(), @PROPERTY

metrics.getTaskAverageDuration(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getTaskAverageDuration(), @PROPERTY

HttpCacheContext.create(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.cache.HttpCacheContext.create(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

ResponseHandler, CLASS/INTERFACE, 433, 13, 1.1.8 Response handlers, org.apache.http.client.ResponseHandler, @

ResponseHandler, CLASS/INTERFACE, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.ResponseHandler, @

httpClient.close(), UNIDENTIFIED-TYPE, 1018, 13, 2.3.4 Connection manager shutdown, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.close(), @

BasicAuthCache(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.impl.client.BasicAuthCache.BasicAuthCache(), @CONSTRUCTOR

httppost.setEntity(), METHOD, 370, 13, 1.1.7 Producing entity content, org.apache.http.client.methods.CloseableHttpResponse.setEntity(), @

httppost.setEntity(), METHOD, 390, 17, 1.1.7.1 HTML forms, org.apache.http.message.BasicHttpEntityEnclosingRequest.setEntity(), @

httppost.setEntity(), METHOD, 414, 17, 1.1.7.2 Content chunking, org.apache.http.message.BasicHttpEntityEnclosingRequest.setEntity(), @

httppost.setEntity(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.CloseableHttpResponse.setEntity(), @

metrics.getRequestCount(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getRequestCount(), @PROPERTY

ManagedHttpClientConnectionFactory(), METHOD, 2474, 17, 7.1 Custom client connections, org.apache.http.impl.conn.ManagedHttpClientConnectionFactory.ManagedHttpClientConnectionFactory(), @CONSTRUCTOR

RequestConfig, CLASS/INTERFACE, 587, 9, 1.3 HTTP execution context, org.apache.http.client.config.RequestConfig, @DATA_PROVIDER

RequestConfig, CLASS/INTERFACE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.config.RequestConfig, @DATA_PROVIDER

RequestConfig, CLASS/INTERFACE, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.config.RequestConfig, @DATA_PROVIDER

RequestConfig, CLASS/INTERFACE, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.config.RequestConfig, @DATA_PROVIDER

RequestConfig, CLASS/INTERFACE, 1543, 9, 3.4 Custom cookie policy, org.apache.http.client.config.RequestConfig, @DATA_PROVIDER

RequestConfig, CLASS/INTERFACE, 2328, 5, 6.3 Example Usage, org.apache.http.impl.client.cache.CachingHttpClientBuilder.defaultRequestConfig, @DATA_PROVIDER

DefaultProxyRoutePlanner(), METHOD, 1351, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.conn.DefaultProxyRoutePlanner.DefaultProxyRoutePlanner(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

DefaultHostnameVerifier(), METHOD, 1332, 13, 2.7.4 Hostname verification, org.apache.http.conn.ssl.SSLConnectionSocketFactory.getDefaultHostnameVerifier(), @CONSTRUCTOR

DefaultHostnameVerifier(), METHOD, 1340, 13, 2.7.4 Hostname verification, org.apache.http.conn.ssl.SSLConnectionSocketFactory.getDefaultHostnameVerifier(), @CONSTRUCTOR

ConnectionKeepAliveStrategy(), METHOD, 1176, 9, 2.6 Connection keep alive strategy, org.apache.http.conn.ConnectionKeepAliveStrategy.ConnectionKeepAliveStrategy(), @

context.getProxyAuthState(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.protocol.HttpClientContext.getProxyAuthState(), @

metrics.getFailedConnectionAverageDuration(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getFailedConnectionAverageDuration(), @PROPERTY

HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.BasicCredentialsProvider.setCredentials(), @

PublicSuffixMatcherLoader.load(), METHOD, 1332, 13, 2.7.4 Hostname verification, org.apache.http.conn.util.PublicSuffixMatcherLoader.load(), @

HttpClientBuilder.create(), METHOD, 2594, 13, 7.3.1 Creating the FutureRequestExecutionService, org.apache.http.impl.client.HttpClientBuilder.create(), @FACTORY

context.setCookieSpecRegistry(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.protocol.HttpClientContext.setCookieSpecRegistry(), @

setHost(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setHost(), @

cookie.setAttribute(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setAttribute(), @

cookie.setAttribute(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setAttribute(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1757, 9, 4.3 Credentials provider, org.apache.http.auth.AuthState.setCredentials(), @

